product_name,molecule,therapeutic_area,product_type,reference_product,overall_legitimacy_score,quality_score,comparability_score,safety_score,efficacy_score,regulatory_score,adverse_event_rate_per_1000,serious_ae_rate_per_1000,discontinuation_rate_pct,interchangeability_status
Adalimumab Biosimilar A,Adalimumab,Immunology,candidate,Humira,90,91,92,89,90,88,12.8,1.6,4.5,Not yet established
Insulin Glargine Biosimilar B,Insulin Glargine,Endocrinology,candidate,Lantus,93,94,95,92,91,93,11.4,1.1,3.8,Approved interchangeability
Trastuzumab Biosimilar C,Trastuzumab,Oncology,candidate,Herceptin,89,90,91,88,89,90,14.1,2.3,5.1,Not approved
Etanercept Biosimilar D,Etanercept,Rheumatology,candidate,Enbrel,88,89,90,87,88,86,15.2,2.0,5.8,Not yet established
Rituximab Biosimilar E,Rituximab,Oncology,candidate,Rituxan,90,92,93,90,89,89,13.2,1.8,4.7,Not approved
Humira,Adalimumab,Immunology,originator,Humira,95,95,96,93,95,96,11.2,1.2,3.7,Approved
Lantus,Insulin Glargine,Endocrinology,originator,Lantus,96,96,97,94,94,97,9.8,0.9,2.9,Approved
Herceptin,Trastuzumab,Oncology,originator,Herceptin,95,95,96,92,96,97,13.7,2.1,5.2,Approved
Enbrel,Etanercept,Rheumatology,originator,Enbrel,94,94,95,91,94,96,14.8,1.9,5.4,Approved
Rituxan,Rituximab,Oncology,originator,Rituxan,95,95,96,92,95,97,12.9,1.7,4.3,Approved
Amgevita,Adalimumab,Immunology,similar_biologic,Humira,89,90,91,88,89,90,13.1,1.7,4.8,Not approved
Basaglar,Insulin Glargine,Endocrinology,similar_biologic,Lantus,91,92,93,90,90,92,10.9,1.0,3.6,Approved
Ogivri,Trastuzumab,Oncology,similar_biologic,Herceptin,88,89,90,87,88,89,14.3,2.2,5.3,Not approved
Erelzi,Etanercept,Rheumatology,similar_biologic,Enbrel,87,88,89,86,87,87,15.7,2.1,5.9,Not approved
Truxima,Rituximab,Oncology,similar_biologic,Rituxan,90,91,92,89,90,90,12.7,1.8,4.6,Not approved
