product_name,product_type,molecule,adverse_event_rate_per_1000,serious_ae_rate_per_1000,discontinuation_rate_pct,immunogenicity_rate_pct,side_effect_profile,overall_legitimacy_score
Adalimumab Biosimilar A,candidate,Adalimumab,12.8,1.6,4.5,1.4,Low to moderate,90
Insulin Glargine Biosimilar B,candidate,Insulin Glargine,11.4,1.1,3.8,1.1,Low,93
Trastuzumab Biosimilar C,candidate,Trastuzumab,14.1,2.3,5.1,1.7,Moderate,89
Etanercept Biosimilar D,candidate,Etanercept,15.2,2.0,5.8,1.8,Moderate,88
Rituximab Biosimilar E,candidate,Rituximab,13.2,1.8,4.7,1.5,Low to moderate,90
Humira,originator,Adalimumab,11.2,1.2,3.7,1.3,Low,95
Lantus,originator,Insulin Glargine,9.8,0.9,2.9,1.0,Low,96
Herceptin,originator,Trastuzumab,13.7,2.1,5.2,1.5,Moderate,95
Enbrel,originator,Etanercept,14.8,1.9,5.4,1.7,Moderate,94
Rituxan,originator,Rituximab,12.9,1.7,4.3,1.2,Low to moderate,95
Amgevita,similar_biologic,Adalimumab,13.1,1.7,4.8,1.6,Low to moderate,89
Basaglar,similar_biologic,Insulin Glargine,10.9,1.0,3.6,1.2,Low,91
Ogivri,similar_biologic,Trastuzumab,14.3,2.2,5.3,1.8,Moderate,88
Erelzi,similar_biologic,Etanercept,15.7,2.1,5.9,1.9,Moderate,87
Truxima,similar_biologic,Rituximab,12.7,1.8,4.6,1.4,Low to moderate,90
